Site,Lat,Long,lab
Thurston,19.4040287877952,-155.234341399502,1
Olaa,19.478541244,-155.253883805,2
Laupahoehoe,19.9288961,-155.3012001,3
Kohala,20.051470399,-155.685570678,4
Kokee,22.1374801033192,-159.623404059097,5
